noun-noun phrase frequencies
noun-noun phrases,frequencies
chapter xxviii,1
chapter xxix,1
"chapter xxx

    chapter xxxi",1
chapter xxxii,1
chapter xxxiii,1
"chapter xxxiv

    chapter xxxv",1
chapter xxxvi,1
chapter xxxvii,1
chapter xxxviii,1
chapter xxxix,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
chapter xxiii,1
"chapter xxiv

    chapter xxv

    chapter",1
chapter xxvii,1
chapter xxviii,1
chapter xxix,1
"chapter xxx

    chapter xxxi",1
chapter xxxii,1
chapter xxxiii,1
"chapter xxxiv


    book",1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
"xv

    chapter",1
xvi,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
book,1
"1812 - 13

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
first epilogue,1
"1813 - 20

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
"xii

    chapter xiii

    chapter xiv

    chapter xv

    chapter xvi",1
"second epilogue

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter xi

    chapter xii",1
book,1
chapter,1
i,1
prince,1
lucca,1
just family estates,1
"the
buonapartes",1
i,1
you,1
you,1
me,1
war,1
you,1
the infamies,1
horrors,1
antichrist,1
i,1
he,1
i,1
nothing,1
you,1
you,1
my friend,1
"my
‘faithful slave",1
you,1
yourself,1
you,1
i,1
i,1
you,1
me,1
all the news,1
it,1
july,1
the speaker,1
the well-known anna pávlovna,1
schérer,1
maid,1
honor,1
the empress márya fëdorovna,1
these words,1
she,1
prince vasíli kurágin,1
a man,1
"high
rank",1
importance,1
who,1
her reception,1
anna,1
pávlovna,1
a cough,1
some days,1
she,1
she,1
la grippe,1
grippe,1
a new word,1
st. petersburg,1
the elite,1
all her invitations,1
exception,1
french,1
a scarlet-liveried footman,1
you,1
nothing,1
prince,1
"the
prospect",1
an evening,1
a poor invalid,1
i,1
you,1
“heavens,1
what a virulent attack,1
the prince,1
this reception,1
he,1
"an
embroidered court uniform",1
knee breeches,1
shoes,1
stars,1
his breast,1
a serene expression,1
his flat face,1
he,1
"that
refined french",1
our grandfathers,1
"the gentle, patronizing intonation",1
a man,1
importance,1
who,1
society,1
court,1
he,1
anna pávlovna,1
her hand,1
himself,1
the sofa,1
me,1
you,1
your friend,1
mind,1
rest,1
he,1
his tone,1
"the
politeness",1
sympathy,1
which indifference,1
even irony,1
one,1
one,1
times,1
one,1
any feeling,1
anna pávlovna,1
you,1
i,1
“and the fete,1
the english ambassador,1
today,1
wednesday,1
i,1
an appearance,1
the prince,1
my daughter,1
me,1
me,1
i,1
fete,1
i,1
"all these
festivities",1
fireworks,1
they,1
you,1
it,1
the entertainment,1
the prince,1
who,1
a wound-up clock,1
force,1
habit,1
things,1
he,1
what,1
about novosíltsev,1
dispatch,1
you,1
everything,1
what,1
one,1
it,1
the prince,1
"a cold, listless
tone",1
what,1
they,1
buonaparte,1
his boats,1
i,1
we,1
ours,1
prince vasíli,1
an actor,1
"a stale
part",1
the contrary,1
her forty years,1
animation,1
impulsiveness,1
an enthusiast,1
her social vocation,1
she,1
it,1
she,1
order,1
"the
expectations",1
who,1
her,1
it,1
her faded features,1
her lips,1
a spoiled child,1
a continual consciousness,1
her charming defect,1
she,1
it,1
the midst,1
a conversation,1
political matters anna pávlovna burst,1
me,1
austria,1
i,1
things,1
austria,1
war,1
she,1
us,1
russia,1
europe,1
his high vocation,1
it,1
"the one
thing",1
i,1
faith,1
our good and wonderful sovereign,1
the noblest role,1
earth,1
he,1
god,1
him,1
he,1
his vocation,1
the hydra,1
revolution,1
the person,1
this murderer,1
we,1
the blood,1
whom,1
i,1
you,1
we,1
england,1
"her commercial
spirit",1
the emperor alexander,1
loftiness,1
soul,1
she,1
malta,1
she,1
some secret motive,1
our actions,1
what answer,1
none,1
the english,1
the self-abnegation,1
our emperor,1
who,1
nothing,1
himself,1
the good,1
mankind,1
what,1
they,1
nothing,1
they,1
they,1
prussia,1
buonaparte,1
all europe,1
him,1
i,1
"a
word",1
hardenburg,1
haugwitz,1
"this famous prussian
neutrality",1
just a trap,1
i,1
faith,1
god,1
"the lofty
destiny",1
our adored monarch,1
he,1
europe,1
she,1
her own impetuosity,1
i,1
the prince,1
a smile,1
you,1
our dear wintzingerode,1
you,1
the king,1
prussia,1
’s consent,1
assault,1
you,1
you,1
me,1
a cup,1
tea,1
a moment,1
à propos,1
she,1
i,1
two very interesting men,1
who,1
the montmorencys,1
the rohans,1
"the best
french families",1
he,1
the genuine émigrés,1
the good ones,1
"and
also the abbé morio",1
you,1
thinker,1
he,1
the emperor,1
you,1
i,1
them,1
the prince,1
me,1
he,1
studied carelessness,1
it,1
him,1
the question,1
he,1
"the chief
motive",1
his visit,1
it,1
the dowager empress,1
baron,1
vienna,1
the baron,1
"all
accounts",1
a poor creature,1
prince vasíli,1
this post,1
his son,1
others,1
the dowager empress,1
it,1
the baron,1
her eyes,1
neither she,1
anyone,1
a right,1
what,1
the empress,1
baron funke,1
empress,1
"her
sister",1
she,1
a dry and mournful tone,1
she,1
the empress,1
face,1
"an
expression",1
profound and sincere devotion,1
respect,1
sadness,1
she,1
"her illustrious
patroness",1
she,1
her majesty,1
baron funke,1
beaucoup d’estime,1
her face,1
sadness,1
the prince,1
"the womanly and
courtierlike quickness",1
her,1
", anna pávlovna",1
him,1
he,1
a man,1
the empress,1
the same time,1
him,1
she,1
your family,1
you,1
your daughter,1
everyone,1
her,1
they,1
she,1
the prince,1
his respect,1
gratitude,1
i,1
she,1
a short pause,1
nearer,1
the prince,1
him,1
"political
and social topics",1
the time,1
"intimate
conversation—“i",1
the joys,1
life,1
why has fate,1
you,1
two such splendid children,1
i,1
anatole,1
i,1
him,1
she,1
a tone,1
no rejoinder,1
her eyebrows,1
“two such charming children,1
you,1
them,1
you,1
them,1
she,1
her ecstatic smile,1
i,1
it,1
the prince,1
lavater,1
i,1
the bump,1
paternity,1
i,1
a serious talk,1
you,1
you,1
i,1
your younger son,1
ourselves,1
"(and her
face",1
its melancholy expression,1
he,1
"her
majesty",1
you,1
the prince,1
nothing,1
she,1
him,1
a reply,1
he,1
what,1
you,1
me,1
he,1
you,1
i,1
a father,1
their education,1
they,1
fools,1
hippolyte,1
at least a quiet fool,1
anatole,1
an active one,1
the only difference,1
them,1
he,1
a way,1
the wrinkles,1
his mouth,1
something,1
children,1
such men,1
you,1
you,1
"a
father",1
nothing,1
i,1
you,1
"anna
pávlovna",1
i,1
your faithful slave,1
you,1
i,1
"my
children",1
the bane,1
my life,1
it,1
the cross,1
i,1
i,1
it,1
myself,1
it,1
he,1
his resignation,1
cruel fate,1
"a
gesture",1
anna pávlovna,1
you,1
your prodigal son,1
she,1
they,1
old maids,1
a mania,1
matchmaking,1
i,1
that weakness,1
myself,1
i,1
a little person,1
who,1
her father,1
she,1
a relation,1
yours,1
princess,1
mary bolkónskaya,1
prince vasíli,1
the quickness,1
memory,1
perception,1
a man,1
the world,1
he,1
a movement,1
the head,1
he,1
this information,1
you,1
he,1
"the sad
current",1
his thoughts,1
anatole,1
me,1
he,1
a pause,1
what,1
it,1
five years,1
he,1
he,1
what,1
we,1
fathers,1
this princess,1
yours,1
her father,1
he,1
the country,1
he,1
the well-known prince bolkónski,1
who,1
the army,1
the late emperor,1
prussia,1
he,1
a bore,1
the poor girl,1
she,1
a brother,1
i,1
you,1
him,1
he,1
lise meinen,1
he,1
an aide-de-camp,1
kutúzov,1
the prince,1
anna,1
pávlovna,1
some reason,1
it,1
that affair,1
me,1
i,1
your most devoted slave-slafe,1
an f,1
a village elder,1
mine,1
his reports,1
she,1
good family,1
i,1
the familiarity,1
easy grace,1
him,1
he,1
"the
maid",1
honor,1
’s hand,1
his lips,1
it,1
it,1
he,1
his armchair,1
another direction,1
anna pávlovna,1
i,1
lise,1
young bolkónski,1
wife,1
this very evening,1
"the
thing",1
it,1
your family,1
behalf,1
i,1
my apprenticeship,1
old maid,1
chapter ii,1
anna pávlovna,1
drawing room,1
"the highest
petersburg society",1
people,1
age,1
character,1
the social circle,1
they,1
prince vasíli,1
daughter,1
the beautiful hélène,1
her,1
father,1
the ambassador,1
entertainment,1
she,1
a ball dress,1
her badge,1
maid,1
honor,1
the youthful little princess bolkónskaya,1
la femme la plus séduisante de pétersbourg,1
she,1
the previous winter,1
any large gatherings,1
small receptions,1
son,1
mortemart,1
whom,1
he,1
the abbé morio,1
many others,1
the most fascinating woman,1
petersburg,1
each new arrival,1
anna pávlovna,1
you,1
"my
aunt",1
you,1
my aunt,1
him,1
her,1
a little old lady,1
large bows,1
ribbon,1
"her
cap",1
who,1
another room,1
the guests,1
her eyes,1
the visitor,1
"her
aunt",1
anna pávlovna,1
each one’s name,1
them,1
each visitor,1
the ceremony,1
this old aunt,1
whom,1
them,1
them,1
them,1
anna pávlovna,1
these greetings,1
"mournful and
solemn interest",1
silent approval,1
the aunt,1
them,1
the same words,1
their health,1
the health,1
"her
majesty",1
who,1
god,1
and each visitor,1
politeness,1
his showing impatience,1
the old woman,1
a sense,1
relief,1
a vexatious duty,1
her,1
the young princess bolkónskaya,1
some work,1
"a
gold-embroidered velvet bag",1
her pretty little upper lip,1
her teeth,1
it,1
she,1
it,1
the lower lip,1
the case,1
a thoroughly attractive woman,1
her defect,1
the shortness,1
"her
upper lip",1
her half-open mouth,1
"her own special and
peculiar form",1
beauty,1
everyone,1
the sight,1
"this pretty
young woman",1
a mother,1
life,1
health,1
her burden,1
old men,1
young ones,1
who,1
her,1
her company,1
her,1
they,1
her,1
life,1
health,1
who,1
her,1
each word,1
her bright smile,1
the constant gleam,1
her white teeth,1
they,1
"a
specially amiable mood",1
the little princess,1
the table,1
"quick, short, swaying
steps",1
her workbag,1
her arm,1
her dress,1
a sofa,1
the silver samovar,1
she,1
"a
pleasure",1
herself,1
her,1
i,1
my work,1
she,1
french,1
her bag,1
all present,1
annette,1
i,1
you,1
a wicked trick,1
me,1
she,1
her hostess,1
you,1
it,1
"quite
a small reception",1
i,1
she,1
her arms,1
"her short-waisted, lace-trimmed, dainty gray
dress",1
a broad ribbon,1
the breast,1
lise,1
you,1
anyone,1
anna pávlovna,1
you,1
the princess,1
the same tone,1
voice,1
french,1
my husband,1
me,1
he,1
himself,1
me,1
what,1
this wretched war,1
she,1
prince vasíli,1
an answer,1
she,1
his daughter,1
the beautiful hélène,1
what a delightful woman,1
this little princess,1
"prince
vasíli",1
anna pávlovna,1
the next arrivals,1
"a stout, heavily built young man",1
close-cropped hair,1
spectacles,1
the light-colored breeches,1
that time,1
a very high ruffle,1
a brown dress coat,1
"this stout
young man",1
an illegitimate son,1
count bezúkhov,1
"a well-known
grandee",1
catherine,1
who,1
moscow,1
the young man,1
either the military or civil service,1
he,1
he,1
"his
first appearance",1
society,1
anna pávlovna,1
him,1
the nod,1
she,1
the lowest hierarchy,1
her drawing room,1
spite,1
this lowest-grade greeting,1
a look,1
anxiety,1
fear,1
the sight,1
something,1
the place,1
her face,1
she,1
pierre,1
he,1
the other men,1
the room,1
her anxiety,1
reference,1
"the clever though shy, but observant and natural, expression",1
him,1
everyone,1
that drawing room,1
it,1
you,1
anna pávlovna,1
an alarmed glance,1
"her
aunt",1
she,1
him,1
her,1
pierre,1
something,1
search,1
something,1
his way,1
the aunt,1
he,1
"the little
princess",1
a pleased smile,1
an intimate acquaintance,1
anna pávlovna,1
alarm,1
pierre,1
"the
aunt",1
her speech,1
her majesty’s health,1
anna pávlovna,1
dismay,1
him,1
the words,1
you,1
"the
abbé morio",1
he,1
a most interesting man,1
i,1
his scheme,1
perpetual peace,1
it,1
you,1
anna pávlovna,1
order,1
something,1
her duties,1
pierre,1
a reverse act,1
impoliteness,1
he,1
a lady,1
she,1
him,1
he,1
who,1
his head,1
his big feet,1
he,1
his reasons,1
the abbé,1
plan,1
we,1
it,1
anna pávlovna,1
a smile,1
this young man,1
who,1
she,1
her duties,1
hostess,1
any point,1
the conversation,1
the foreman,1
a spinning mill,1
he,1
the hands,1
a spindle,1
more noise,1
it,1
"the
machine",1
it,1
proper motion,1
anna pávlovna,1
"her
drawing room",1
"a silent, now a too-noisy group",1
"a
word",1
slight rearrangement,1
the conversational machine,1
these cares,1
pierre,1
she,1
an anxious watch,1
him,1
he,1
the group,1
round,1
what,1
he,1
another group,1
whose center,1
the abbé,1
pierre,1
this reception,1
anna,1
pávlovna,1
he,1
russia,1
he,1
the intellectual lights,1
petersburg,1
"a
child",1
a toyshop,1
which way,1
any clever conversation,1
"the self-confident
and refined expression",1
the faces,1
those present,1
he,1
something,1
he,1
morio,1
the conversation,1
he,1
"an
opportunity",1
his own views,1
young people,1
chapter iii,1
anna pávlovna,1
reception,1
full swing,1
the spindles,1
all sides,1
the exception,1
the aunt,1
whom,1
only one elderly lady,1
who,1
her thin careworn face,1
place,1
this brilliant society,1
the whole company,1
three groups,1
chiefly masculine,1
the abbé,1
young people,1
"the beautiful
princess hélène",1
prince vasíli,1
daughter,1
the little princess,1
bolkónskaya,1
her age,1
the third group,1
round mortemart,1
anna pávlovna,1
the vicomte,1
a nice-looking young man,1
soft features,1
"polished
manners",1
who,1
himself,1
politeness,1
himself,1
the disposal,1
the circle,1
he,1
himself,1
anna pávlovna,1
him,1
a treat,1
her guests,1
a clever maître d’hôtel,1
"a
specially choice delicacy",1
a piece,1
meat,1
who,1
it,1
the kitchen,1
anna pávlovna,1
her guests,1
first the vicomte,1
then the abbé,1
peculiarly choice,1
the group,1
mortemart,1
"the
murder",1
the duc d’enghien,1
the vicomte,1
the duc,1
d’enghien,1
his own magnanimity,1
reasons,1
buonaparte’s hatred,1
him,1
us,1
it,1
anna pávlovna,1
a pleasant feeling,1
something,1
"the
sound",1
that sentence,1
contez nous çela,1
vicomte,1
the vicomte,1
token,1
his willingness,1
anna pávlovna,1
a group,1
him,1
everyone,1
his tale,1
the vicomte,1
the duc,1
the guests,1
the vicomte,1
a wonderful raconteur,1
she,1
he,1
the best society,1
she,1
the vicomte,1
the company,1
the choicest,1
most advantageous style,1
a well-garnished joint,1
roast beef,1
a hot dish,1
the vicomte,1
his story,1
a subtle smile,1
"the
beautiful young princess",1
who,1
some way,1
the center,1
another group,1
the princess,1
she,1
the same unchanging smile,1
she,1
the room,1
the smile,1
"a perfectly beautiful
woman",1
a slight rustle,1
her white dress,1
moss,1
ivy,1
a gleam,1
white shoulders,1
glossy hair,1
she,1
the men,1
who,1
way,1
her,1
them,1
her beautiful figure,1
shapely shoulders,1
the fashion,1
those days,1
she,1
the glamour,1
a ballroom,1
her,1
she,1
anna pávlovna,1
hélène,1
she,1
any trace,1
coquetry,1
the contrary,1
she,1
she,1
its effect,1
everyone,1
who,1
her,1
the vicomte,1
"his
shoulders",1
his eyes,1
something,1
she,1
her seat,1
him,1
"her
unchanging smile",1
i,1
my ability,1
such an audience,1
he,1
his head,1
the princess,1
her bare round arm,1
a little table,1
a reply,1
she,1
the story,1
she,1
her beautiful round arm,1
shape,1
its pressure,1
the table,1
"her still more
beautiful bosom",1
she,1
a diamond necklace,1
time,1
time,1
she,1
the folds,1
her dress,1
the story,1
an effect,1
she,1
anna pávlovna,1
"just
the expression",1
she,1
the maid,1
honor,1
face,1
her radiant smile,1
the little princess,1
the tea table,1
hélène,1
i,1
my work,1
what,1
you,1
she,1
prince hippolyte,1
me,1
a general movement,1
the princess,1
everyone,1
herself,1
"her
seat",1
i,1
she,1
the vicomte,1
she,1
her work,1
prince hippolyte,1
the workbag,1
the circle,1
a chair,1
hers,1
himself,1
her,1
le charmant hippolyte,1
his extraordinary resemblance,1
his beautiful sister,1
the fact,1
spite,1
this resemblance,1
he,1
his features,1
"his
sister",1
her case,1
everything,1
"self-satisfied, youthful, and constant smile",1
animation,1
"the
wonderful classic beauty",1
her figure,1
his face,1
imbecility,1
a constant expression,1
"sullen
self-confidence",1
his body,1
his eyes,1
nose,1
mouth,1
"a vacant, wearied grimace",1
his arms,1
legs,1
unnatural positions,1
it,1
a ghost story,1
he,1
the princess,1
his lorgnette,1
"this
instrument",1
he,1
the astonished narrator,1
his shoulders,1
i,1
ghost stories,1
prince hippolyte,1
a tone,1
he,1
the meaning,1
his words,1
he,1
them,1
he,1
such self-confidence,1
his hearers,1
what,1
he,1
he,1
a dark-green dress coat,1
knee breeches,1
the color,1
"cuisse de nymphe
effrayée",1
he,1
it,1
the vicomte,1
his tale,1
it,1
an anecdote,1
the effect,1
the duc,1
d’enghien,1
paris,1
mademoiselle george,1
her house,1
he,1
bonaparte,1
who,1
the famous actress’ favors,1
his presence,1
napoleon,1
he,1
the duc’s mercy,1
him,1
this magnanimity bonaparte,1
death,1
the story,1
the point,1
the rivals,1
the ladies,1
anna pávlovna,1
an inquiring glance,1
"the
little princess",1
the little princess,1
the needle,1
her work,1
the interest,1
fascination,1
the story,1
her,1
it,1
the vicomte,1
this silent praise,1
just then anna pávlovna,1
who,1
"a
watchful eye",1
the young man,1
who,1
her,1
he,1
the abbé,1
she,1
"the
rescue",1
pierre,1
a conversation,1
the abbé,1
the balance,1
power,1
"the young
man",1
simple-minded eagerness,1
his pet theory,1
anna pávlovna,1
the means,1
the balance,1
power,1
europe,1
the rights,1
the people,1
the abbé,1
it,1
"one
powerful nation",1
russia,1
she,1
the head,1
an alliance,1
its object,1
the maintenance,1
the balance,1
power,1
europe,1
it,1
"the
world",1
you,1
that balance,1
pierre,1
that moment,1
anna pávlovna,1
pierre,1
he,1
russian climate,1
the italian,1
face,1
"an offensively affected, sugary
expression",1
him,1
women,1
i,1
the brilliancy,1
the wit,1
culture,1
"the
society",1
the feminine society,1
i,1
the honor,1
i,1
time,1
the climate,1
he,1
the abbé and pierre escape,1
anna pávlovna,1
them,1
observation,1
them,1
"the
larger circle",1
another visitor,1
the drawing room,1
prince andrew,1
bolkónski,1
the little princess,1
husband,1
he,1
"a very handsome young
man",1
medium height,1
firm,1
clearcut,1
everything,1
him,1
"his weary, bored expression",1
"his quiet, measured step",1
a most striking contrast,1
"his quiet, little wife",1
it,1
he,1
everyone,1
the drawing room,1
them,1
it,1
him,1
them,1
all these faces,1
he,1
none,1
him,1
his pretty wife,1
he,1
her,1
a grimace,1
his handsome face,1
anna,1
pávlovna,1
hand,1
his eyes,1
the whole company,1
you,1
the war,1
anna pávlovna,1
“general kutúzov,1
bolkónski,1
french,1
the last syllable,1
the general’s name,1
a frenchman,1
me,1
an aide-de-camp,1
“and lise,1
your wife,1
she,1
the country,1
you,1
us,1
your charming wife,1
his wife,1
her husband,1
"the same
coquettish manner",1
she,1
other men,1
the vicomte,1
us,1
such a tale,1
mademoiselle george,1
buonaparte,1
prince andrew,1
his eyes,1
pierre,1
who,1
the moment,1
prince andrew,1
the room,1
him,1
affectionate eyes,1
his arm,1
he,1
prince andrew,1
his annoyance,1
whoever,1
his arm,1
he,1
pierre,1
he,1
him,1
"an
unexpectedly kind and pleasant smile",1
you,1
the great world,1
he,1
i,1
you,1
pierre,1
i,1
you,1
i,1
he,1
a low voice,1
"the
vicomte",1
who,1
his story,1
prince andrew,1
pierre,1
’s hand,1
no need,1
the question,1
he,1
something,1
that moment,1
prince vasíli,1
"his
daughter",1
the two young men,1
them,1
you,1
me,1
prince vasíli,1
"the
frenchman",1
him,1
the sleeve,1
a friendly way,1
his rising,1
this unfortunate fete,1
the ambassador,1
me,1
a pleasure,1
me,1
you,1
i,1
your enchanting party,1
he,1
anna pávlovna,1
his daughter,1
princess hélène,1
the chairs,1
the folds,1
her dress,1
the smile,1
her beautiful face,1
pierre,1
her,1
"almost frightened, eyes",1
she,1
him,1
prince andrew,1
pierre,1
prince vasíli,1
pierre,1
anna,1
pávlovna,1
this bear,1
me,1
he,1
me,1
the first time,1
i,1
him,1
society,1
nothing,1
a young man,1
the society,1
"clever
women",1
anna pávlovna,1
pierre,1
hand,1
she,1
"his
father",1
a connection,1
prince vasíli,1
the elderly lady,1
who,1
the old aunt,1
prince,1
vasíli,1
the anteroom,1
all the affectation,1
interest,1
she,1
her,1
kindly and tear-worn face,1
it,1
only anxiety,1
fear,1
my son,1
borís,1
prince,1
she,1
him,1
the anteroom,1
i,1
petersburg,1
me,1
i,1
my poor boy,1
prince vasíli,1
the elderly lady,1
some impatience,1
she,1
him,1
"an
ingratiating and appealing smile",1
his hand,1
he,1
what,1
it,1
you,1
a word,1
the emperor,1
he,1
the guards,1
she,1
me,1
i,1
i,1
prince,1
vasíli,1
it,1
me,1
the emperor,1
i,1
you,1
rumyántsev,1
prince golítsyn,1
the best way,1
the elderly lady,1
a princess drubetskáya,1
"the
best families",1
russia,1
she,1
society,1
her former influential connections,1
she,1
petersburg,1
an appointment,1
the guards,1
her only son,1
it,1
fact,1
prince vasíli,1
"that she had obtained an
invitation",1
she,1
anna pávlovna,1
reception,1
the vicomte’s story,1
prince vasíli,1
words,1
her,1
"an
embittered look",1
her,1
handsome face,1
a moment,1
she,1
prince vasíli,1
me,1
she,1
i,1
you,1
anything,1
i,1
i,1
you,1
"my
father",1
friendship,1
you,1
i,1
you,1
god’s sake,1
my son,1
i,1
you,1
a benefactor,1
she,1
i,1
golítsyn,1
he,1
the kindhearted man,1
you,1
she,1
tears,1
her eyes,1
we,1
princess hélène,1
"her
beautiful head",1
her classically molded shoulder,1
she,1
the door,1
influence,1
society,1
a capital,1
it,1
prince vasíli,1
he,1
behalf,1
who,1
him,1
he,1
himself,1
he,1
his influence,1
princess drubetskáya’s case,1
he,1
her second appeal,1
something,1
qualms,1
conscience,1
she,1
him,1
what,1
he,1
her father,1
the first steps,1
his career,1
he,1
her manners,1
she,1
those women,1
mostly mothers,1
who,1
their minds,1
they,1
their end,1
day,1
day,1
hour,1
hour,1
scenes,1
this last consideration,1
him,1
he,1
his usual familiarity,1
weariness,1
tone,1
it,1
me,1
what,1
you,1
my devotion,1
you,1
i,1
your father,1
memory,1
i,1
your son,1
"the
guards",1
my hand,1
it,1
you,1
“my dear benefactor,1
what,1
i,1
you,1
i,1
"your
kindness",1
he,1
